Unnamed: 0,A2M (2),ABCB1 (5243)
ACH-000015,-0.0849975872487468,0.0366128481379873
ACH-000045,0.0301591902205377,0.0411417646863938
ACH-000094,0.1113041279072069,0.2246958599099776
ACH-000096,-0.1171196535021748,-0.1617832944707979
ACH-000099,-0.0710872842309148,-0.0023969794093848
ACH-000167,0.0389655070980821,-0.3260559338703697
ACH-000178,0.0421150808460286,-0.1224096198328507
ACH-000213,0.0127516392550328,-0.1785388339865969
ACH-000216,0.0274116248384958,-0.1420748802268584
ACH-000223,-0.0060405039096821,-0.2132669635943914
ACH-000247,0.0454731031105359,-0.1826286840937872
ACH-000261,-0.0518399307565979,-0.1610003760204514
ACH-000262,0.0582386046627508,-0.2487901833350301
ACH-000286,-0.2174878703918392,-0.0918724033682513
ACH-000312,-0.0172851814480339,-0.1866484213506911
ACH-000320,-0.1366630159196612,-0.0432705382468153
ACH-000341,-0.0924327244790495,-0.2130798441031791
ACH-000354,0.0912828991040032,0.0055152195757409
ACH-000373,-0.0901786444298306,0.0409809541197015
ACH-000402,0.123392371805659,-0.1372930383381461
ACH-000416,0.0578835672811602,-0.1271659162190823
ACH-000435,-0.0204634747582367,-0.1730558761595688
ACH-000437,-0.079680564133587,-0.0066470981282547
ACH-000450,0.1431446506885826,0.1400238758764582
ACH-000478,0.0347744803586872,-0.0194774575880663
ACH-000483,-0.0422697501368827,-0.0382760474739722
ACH-000493,-0.000995536267788,-0.266489930956071
ACH-000514,0.008456076909915,-0.0830702628016366
ACH-000516,0.1098793260053813,-0.200989916265224
ACH-000535,-0.0983187911500419,-0.0661290794063641
ACH-000544,0.0051609610368794,-0.0223439549556629
ACH-000563,0.042618854938752,-0.5200320088067536
ACH-000592,-0.013556471275338,-0.0923509149412966
ACH-000599,0.1426579004076127,-0.0434264116086769
ACH-000614,0.0422003909144742,-0.0883209525365296
ACH-000618,0.1866582086840115,-0.1660702685862113
ACH-000652,-0.0705937858591839,0.1036880800414288
ACH-000656,-0.0507287872877397,-0.0734805701618667
ACH-000695,0.3849167119318054,-0.1846779458417276
ACH-000717,-0.0485797323403938,-0.0943722509722106
ACH-000719,0.1076183704654818,-0.1461893414667985
ACH-000748,-0.0140209228055491,-0.0213055427287954
ACH-000777,0.0984785604981884,0.0110283892441268
ACH-000784,-0.0271699529144222,-0.0345864366370147
ACH-000793,0.0823456733032886,-0.1478282073742385
ACH-000798,-0.0262393403943515,-0.0807552509650219
ACH-000820,-0.0440471078991858,0.1805462331814192
ACH-000839,0.0368292780662381,0.0723047498136922
ACH-000862,-0.0825059898961431,-0.103683986122839
ACH-000872,-0.0371422605337043,-0.075152410350539
ACH-000876,0.0636443579154467,-0.0997537220129648
ACH-000888,0.0726046636330711,-0.016268098934297
ACH-000906,-0.0976749958494589,-0.0933338821732413
ACH-000912,0.0019600811640735,-0.1913453832967122
ACH-000913,0.0312093405644965,-0.0087556094920689
ACH-000922,0.0101491039004947,-0.1470525421376909
ACH-000928,-0.1219038206608728,-0.1477743518779974
ACH-000934,-0.107717260328551,-0.0275848193406844
ACH-000937,-0.0551526131872537,-0.0301384596406335
ACH-000943,-0.0155543459342261,0.0256646912268444
ACH-000950,0.0394156687596471,-0.006604233895527
ACH-000953,-0.0710344506588676,-0.0794831540404575
ACH-000957,0.0747490836354357,-0.2787789432269821
ACH-000960,-0.024892588893901,-0.1560810481635133
ACH-000969,0.0829614087150534,-0.1012520652815356
ACH-000994,0.0771891080800894,0.08113099186989
ACH-001228,-0.1416667669545389,-0.0361990440835287
ACH-001329,-0.0646207574941861,-0.0657494484284027
ACH-001374,0.1155153045166127,-0.1713073525979911
ACH-001393,0.0999277436442586,-0.2103569799997584
ACH-001418,-0.0814568358915919,-0.0207102105805288
ACH-001419,0.0138234956074344,-0.2253202076861878
ACH-001497,0.0606950515983212,-0.0833878541176626
ACH-001513,0.0072490446592406,-0.1086280193283522
ACH-001539,-0.1780658725108474,-0.0522048030968899
ACH-001544,0.388392447231877,-0.1833068649789884
ACH-001570,0.130044155217392,-0.0164738782323986
ACH-001603,0.1106874078870789,-0.1591308359986399
ACH-001650,0.0535902004277714,-0.0288676128674156
ACH-001675,0.0771646597488002,-0.1508503663998116
ACH-001794,-0.0333642492063709,-0.0959529527290367
ACH-001802,0.0569962035344045,-0.0840004294870626
ACH-001972,-0.0190677736128274,-0.1030795983286288
ACH-001993,0.0878426686661736,-0.2503097076203741
ACH-002002,-0.0869188687779561,-0.0049512515222106
ACH-002052,0.0003478974619589,-0.1740921393595665
ACH-002055,0.1953373105503023,-0.0869398281691457
ACH-002161,0.041033272115039,-0.0299186556407534
ACH-002263,-0.0532390762831832,-0.0806035759754087
ACH-002284,0.1637997425851149,-0.3088652690308384
ACH-002463,0.0686617792260861,-0.1314027966718441
ACH-002471,0.0902783941582767,-0.3014752062457153
ACH-002511,0.018583849322712,-0.1293989760196098
ACH-002512,0.2581662544550456,-0.3113705217609034
ACH-002654,0.0212513258081321,-0.2199419233141887
ACH-002780,-0.0190058489447959,-0.2699044350387007
ACH-002784,0.0625256630072571,-0.0416877826574151
ACH-002799,-0.008317034269733,-0.1822747073953075
ACH-002806,-0.0246728383742736,-0.1015976366566683
ACH-000018,-0.315487600226628,-0.049074451764711
ACH-000029,-0.0480048842212148,-0.0316439410972548
ACH-000036,-0.0181602343030692,0.0956717522145693
ACH-000048,-0.0352451961861414,-0.1071035205911241
ACH-000053,0.0008067287286779,-0.1227737379285268
ACH-000087,-0.1850355369228838,0.001188397829442
ACH-000097,0.0650064666320342,-0.1474932649731958
ACH-000108,0.0340654890214051,-0.0248961256157901
ACH-000120,0.0572406233103198,-0.0709952065858614
ACH-000143,-0.0278680188864001,-0.0384233812144752
ACH-000183,0.0380344276685469,0.0384493202153617
ACH-000190,0.097298473550933,-0.0585551671854208
ACH-000195,0.0582711174893334,-0.268141271699039
ACH-000198,0.0339526762368098,-0.1132447471581977
ACH-000235,-0.0619649375586673,-0.0769308640237008
ACH-000255,-0.1499070416591791,-0.0989839561590547
ACH-000258,0.0620527367371522,0.0368295637093117
ACH-000304,-0.2760299938803305,-0.1594601166132612
ACH-000311,-0.0948467339740559,-0.1772848289794206
ACH-000339,0.0228870537217414,-0.0661849851512484
ACH-000350,-0.0077421203054762,-0.0423103578835348
ACH-000361,-0.2239709176199008,-0.1228220067009208
ACH-000375,-0.2366100692723872,-0.0766210475546092
ACH-000389,-0.0618308763523302,-0.1595867659622339
ACH-000391,-0.0033903777474442,-0.0207395594040404
